"ACCOUNT:","TWK002 - TWK AGRI PTY LTD"
"ACCOUNT CURRENCY:","Local"
"DISPLAY CURRENCY:","Local"
"CURRENT BALANCE:","118131.54"
"UD PAY/CHEQUES:","0.00"
"CREDIT CLAIMS:","0.00"
"TOTAL EXCLUDING UD/CLAIMS:","118131.54"
"SORT ORDER:","DOCUMENT DATE"
"YEAR:","CURRENT"
"INCLUDE:","UD PAYMENTS, UD CHEQUES, CREDIT CLAIMS"

"LINE","PERIOD","DOCNO","ENTRY","DATE","INVNO","CUSTOMER/BANK REF","ORDER","REFERENCE","AMOUNT","BALANCE"
"1","","","","","","BALANCE B/F:","","","38791.27","38791.27"
"2","01","00000494","Journal","01/03/2025","00031558","","","DISCOUNT ALLOWED","-956.28","37834.99"
"3","01","00000494","Journal","01/03/2025","00031558","","","PAYMENT REDUCTION FIX","1762.55","39597.54"
"4","01","00000495","Journal","01/03/2025","00032332","","","DISCOUNT ALLOWED","-429.16","39168.38"
"5","01","00000495","Journal","01/03/2025","00032332","","","PAYMENT CORRECTION JULY2024","1324.29","40492.67"
"6","01","00000496","Journal","01/03/2025","00033224","","","DISCOUNT ALLOWED","-543.52","39949.15"
"7","01","00000496","Journal","01/03/2025","00033224","","","PAYMENT CORRECTION AUG 2024 /","1141.52","41090.67"
"8","01","00041747","Invoice","26/03/2025","00041747","DN#12826","00010854","TWK AGRI PTY LTD","32064.13","73154.80"
"9","01","00012131","Crd Note","27/03/2025","00041747","DN#12826","","TWK AGRI PTY LTD","-19837.50","53317.30"
"10","01","00037770","Payment","28/03/2025","","TRANSF | STAT 112","","TWK AGRI PTY LTD","-35693.84","17623.46"
"11","02","00012207","Crd Note","07/04/2025","00042045","DN#10546","","TWK AGRI PTY LTD","-20324.30","-2700.84"
"12","02","00012214","Crd Note","07/04/2025","00042050","DN#10546","","TWK AGRI PTY LTD","-12075.00","-14775.84"
"13","02","00012215","Crd Note","07/04/2025","00041747","DN#12826","","TWK AGRI PTY LTD","-1249.77","-16025.61"
"14","02","00042045","Invoice","07/04/2025","00042045","DN#10546","00010941","TWK AGRI PTY LTD","20324.30","4298.69"
"15","02","00042050","Invoice","07/04/2025","00042050","DN#10546","00010944","TWK AGRI PTY LTD","20133.97","24432.66"
"16","02","00012329","Crd Note","23/04/2025","00042469","DN#13029-EMPTY","","TWK AGRI PTY LTD","-12592.50","11840.16"
"17","02","00042468","Invoice","23/04/2025","00042468","DN#13029","00011061","TWK AGRI PTY LTD","7713.58","19553.74"
"18","02","00042469","Invoice","23/04/2025","00042469","DN#13029-EMPTY","","TWK AGRI PTY LTD","12592.50","32146.24"
"19","02","00042470","Invoice","23/04/2025","00042470","DN#13030","","TWK AGRI PTY LTD","1236.86","33383.10"
"20","03","00012494","Crd Note","16/05/2025","00043111","DN#13234","","TWK AGRI PTY LTD","-10649.34","22733.76"
"21","03","00012502","Crd Note","16/05/2025","00043112","DN#13234","","TWK AGRI PTY LTD","-17250.00","5483.76"
"22","03","00043111","Invoice","16/05/2025","00043111","DN#13234","00011205","TWK AGRI PTY LTD","10649.34","16133.10"
"23","03","00043112","Invoice","16/05/2025","00043112","DN#13234","","TWK AGRI PTY LTD","27899.34","44032.44"
"24","03","00043294","Invoice","23/05/2025","00043294","DN#12257","00011267","TWK AGRI PTY LTD","24433.21","68465.65"
