doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
14692,0.0,2924.15,2022-07-24,0.0,,2924.15,2022-07-24,-2924.15
15036,0.0,0.0,,-3179.66,2022-07-24,-3179.66,2022-07-24,3179.66
15037,0.0,0.0,,-766.52,2022-07-24,-766.52,2022-07-24,766.52
3757,0.0,-598.0,2022-07-25,0.0,,-598.0,2022-07-25,598.0
15197,0.0,0.0,,-1022.03,2022-07-29,-1022.03,2022-07-29,1022.03
14792,0.0,2668.64,2022-07-29,0.0,,2668.64,2022-07-29,-2668.64
14791,0.0,1022.03,2022-07-29,0.0,,1022.03,2022-07-29,-1022.03
14790,0.0,3690.67,2022-07-29,0.0,,3690.67,2022-07-29,-3690.67
3760,0.0,-3690.67,2022-07-29,0.0,,-3690.67,2022-07-29,3690.67
15198,0.0,0.0,,-2924.15,2022-07-29,-2924.15,2022-07-29,2924.15
3763,0.0,-3588.0,2022-07-31,0.0,,-3588.0,2022-07-31,3588.0
14820,0.0,2990.0,2022-07-31,0.0,,2990.0,2022-07-31,-2990.0
14818,0.0,2668.64,2022-07-31,0.0,,2668.64,2022-07-31,-2668.64
15208,0.0,0.0,,-2668.64,2022-07-31,-2668.64,2022-07-31,2668.64
14857,0.0,598.0,2022-08-01,0.0,,598.0,2022-08-01,-598.0
14856,0.0,1794.0,2022-08-01,0.0,,1794.0,2022-08-01,-1794.0
14835,0.0,2555.07,2022-08-01,0.0,,2555.07,2022-08-01,-2555.07
15253,0.0,0.0,,-2668.64,2022-08-01,-2668.64,2022-08-01,2668.64
3777,0.0,-1794.0,2022-08-02,0.0,,-1794.0,2022-08-02,1794.0
15331,0.0,0.0,,-2555.07,2022-08-04,-2555.07,2022-08-04,2555.07
14918,0.0,3179.66,2022-08-04,0.0,,3179.66,2022-08-04,-3179.66
15343,0.0,0.0,,-3179.66,2022-08-05,-3179.66,2022-08-05,3179.66
14942,0.0,2810.58,2022-08-05,0.0,,2810.58,2022-08-05,-2810.58
14968,0.0,4457.19,2022-08-07,0.0,,4457.19,2022-08-07,-4457.19
15364,0.0,0.0,,-2810.58,2022-08-07,-2810.58,2022-08-07,2810.58
3810,0.0,-5980.0,2022-08-07,0.0,,-5980.0,2022-08-07,5980.0
14967,0.0,7176.0,2022-08-07,0.0,,7176.0,2022-08-07,-7176.0
15416,0.0,0.0,,-2640.25,2022-08-09,-2640.25,2022-08-09,2640.25
14990,0.0,2640.25,2022-08-09,0.0,,2640.25,2022-08-09,-2640.25
3818,0.0,-1196.0,2022-08-09,0.0,,-1196.0,2022-08-09,1196.0
15032,0.0,3944.8001,2022-08-11,0.0,,3944.8,2022-08-11,-3944.8
15033,0.0,1362.22,2022-08-11,0.0,,1362.22,2022-08-11,-1362.22
15058,0.0,3633.89,2022-08-12,0.0,,3633.89,2022-08-12,-3633.89
15061,0.0,7176.0,2022-08-12,0.0,,7176.0,2022-08-12,-7176.0
15451,0.0,0.0,,-4457.19,2022-08-12,-4457.19,2022-08-12,4457.19
3848,0.0,-5382.0,2022-08-12,0.0,,-5382.0,2022-08-12,5382.0
15289,0.0,3690.67,2022-08-23,0.0,,3690.67,2022-08-23,-3690.67
15719,0.0,0.0,,-3634.0,2022-08-23,-3634.0,2022-08-23,3634.0
15294,0.0,3094.48,2022-08-23,0.0,,3094.48,2022-08-23,-3094.48
15651,0.0,0.0,,-3690.67,2022-08-24,-3690.67,2022-08-24,3690.67
15355,0.0,3690.67,2022-08-28,0.0,,3690.67,2022-08-28,-3690.67
15727,0.0,0.0,,-3094.48,2022-08-28,-3094.48,2022-08-28,3094.48
15753,0.0,0.0,,-3690.67,2022-08-30,-3690.67,2022-08-30,3690.67
15402,0.0,3094.48,2022-08-30,0.0,,3094.48,2022-08-30,-3094.48
15780,0.0,0.0,,-3095.0,2022-09-01,-3095.0,2022-09-01,3095.0
15435,0.0,3179.66,2022-09-01,0.0,,3179.66,2022-09-01,-3179.66
15803,0.0,0.0,,-3180.0,2022-09-02,-3180.0,2022-09-02,3180.0
15456,0.0,6578.0,2022-09-02,0.0,,6578.0,2022-09-02,-6578.0
15455,0.0,3094.48,2022-09-02,0.0,,3094.48,2022-09-02,-3094.48
4006,0.0,-6578.0,2022-09-02,0.0,,-6578.0,2022-09-02,6578.0
4007,0.0,-1794.0,2022-09-02,0.0,,-1794.0,2022-09-02,1794.0
15498,0.0,3151.26,2022-09-05,0.0,,3151.26,2022-09-05,-3151.26
15870,0.0,0.0,,-3095.0,2022-09-05,-3095.0,2022-09-05,3095.0
15911,0.0,0.0,,-3150.4,2022-09-08,-3150.4,2022-09-08,3150.4
15542,0.0,3690.67,2022-09-08,0.0,,3690.67,2022-09-08,-3690.67
15939,0.0,0.0,,-3690.5,2022-09-11,-3690.5,2022-09-11,3690.5
15576,0.0,2838.97,2022-09-11,0.0,,2838.97,2022-09-11,-2838.97
15631,0.0,3094.48,2022-09-15,0.0,,3094.48,2022-09-15,-3094.48
16000,0.0,0.0,,-2839.0,2022-09-15,-2839.0,2022-09-15,2839.0
